ICAO;YEAR;TRAFFIC
LOWI;2017;9658
LOWI;2018;9648
LOWI;2019;9736
LOWI;2020;5220
LOWI;2021;3617
LOWI;2022;7752
LOWI;2023;2139
LOWK;2016;3387
LOWK;2017;3722
LOWK;2018;3561
LOWK;2019;3304
LOWK;2020;1674
LOWK;2021;1987
LOWK;2022;2384
LOWK;2023;328
LOWL;2016;6255
LOWL;2017;6015
LOWL;2018;6114
LOWL;2019;6065
LOWL;2020;3379
LOWL;2021;4241
LOWL;2022;4922
LOWL;2023;592
LOWS;2016;13856
LOWS;2017;14917
LOWS;2018;14532
LOWS;2019;13177
LOWS;2020;7313
LOWS;2021;7250
LOWS;2022;12372
LOWS;2023;2547
LOWW;2016;120888
LOWW;2017;120044
LOWW;2018;128210
LOWW;2019;140862
LOWW;2020;54069
LOWW;2021;63900
LOWW;2022;102163
LOWW;2023;14650
LPAZ;2016;1391
LPAZ;2017;1336
LPAZ;2018;1414
LPAZ;2019;1328
LPAZ;2020;1033
LPAZ;2021;1237
LPAZ;2022;1430
LPAZ;2023;169
LPCS;2016;2152
LPCS;2017;2314
LPCS;2018;2481
LPCS;2019;2840
LPCS;2020;2445
LPCS;2021;3189
LPCS;2022;3695
LPCS;2023;328
LPFL;2016;747
LPFL;2017;784
LPFL;2018;846
LPFL;2019;879
LPFL;2020;593
LPFL;2021;808
LPFL;2022;1012
LPFL;2023;98
LPFR;2016;26494
LPFR;2017;29597
LPFR;2018;29588
LPFR;2019;30338
LPFR;2020;12319
LPFR;2021;17636
LPFR;2022;29640
LPFR;2023;2447
LPHR;2016;2244
LPHR;2017;2288
LPHR;2018;2282
LPHR;2019;2342
LPHR;2020;1594
LPHR;2021;2199
LPHR;2022;2568
LPHR;2023;308
LPMA;2016;12209
LPMA;2017;12682
LPMA;2018;12179
LPMA;2019;11960
LPMA;2020;5597
LPMA;2021;8326
LPMA;2022;14185
LPMA;2023;2383
LPPD;2016;7969
LPPD;2017;9726
LPPD;2018;9937
LPPD;2019;10418
LPPD;2020;6136
LPPD;2021;8546
LPPD;2022;11555
LPPD;2023;1420
LPPR;2016;39350
LPPR;2017;43349
LPPR;2018;46844
LPPR;2019;49396
LPPR;2020;21729
LPPR;2021;26962
LPPR;2022;46176
LPPR;2023;6631
LPPS;2016;1672
LPPS;2017;1772
LPPS;2018;1475
LPPS;2019;1255
LPPS;2020;741
LPPS;2021;1135
LPPS;2022;1407
LPPS;2023;172
LPPT;2016;91206
LPPT;2017;101640
LPPT;2018;108756
LPPT;2019;110472
LPPT;2020;44653
LPPT;2021;57716
LPPT;2022;101344
LPPT;2023;16416
LQSA;2016;5305
LQSA;2017;5927
LQSA;2018;6149
LQSA;2019;6460
LQSA;2020;2694
LQSA;2021;5347
LQSA;2022;7389
LQSA;2023;726
LROP;2016;53877
LROP;2017;58160
LROP;2018;61330
LROP;2019;61385
LROP;2020;25869
LROP;2021;35854
LROP;2022;50855
LROP;2023;7777
LSGG;2016;91555
LSGG;2017;91811
LSGG;2018;90125
LSGG;2019;89570
LSGG;2020;39414
LSGG;2021;45783
LSGG;2022;77824
LSGG;2023;13297
LSGS;2016;2716
LSGS;2017;2979
LSGS;2018;3260
LSGS;2019;3158
LSGS;2020;2755
LSGS;2021;3217
LSGS;2022;4334
LSGS;2023;975
LSZH;2016;131345
LSZH;2017;131822
LSZH;2018;135809
LSZH;2019;134627
LSZH;2020;52694
LSZH;2021;62860
LSZH;2022;105555
LSZH;2023;16111
LTAC;2016;50169
LTAC;2017;56361
LTAC;2018;57194
LTAC;2019;46727
LTAC;2020;22747
LTAC;2021;30700
LTAC;2022;32820
LTAC;2023;6558
LTAI;2016;61584
LTAI;2017;76976
LTAI;2018;93058
LTAI;2019;101505
LTAI;2020;31893
LTAI;2021;66537
LTAI;2022;95389
LTAI;2023;6314
LTBA;2016;227479
LTBA;2017;225522
LTBA;2018;228087
LTBA;2019;66392
LTBA;2020;16753
LTBA;2021;17249
LTBA;2022;9460
LTBA;2023;1266
LTBJ;2016;39975
LTBJ;2017;41422
LTBJ;2018;42038
LTBJ;2019;38519
LTBJ;2020;20626
LTBJ;2021;26608
LTBJ;2022;31584
LTBJ;2023;4199
LTFJ;2016;112708
LTFJ;2017;107036
LTFJ;2018;112902
LTFJ;2019;114319
LTFJ;2020;62065
LTFJ;2021;88993
LTFJ;2022;97077
LTFJ;2023;16107
LUKK;2016;11128
LUKK;2017;13565
LUKK;2018;14005
LUKK;2019;13657
LUKK;2020;4911
LUKK;2021;8394
LUKK;2022;9827
LUKK;2023;1723
LWSK;2016;7609
LWSK;2017;8194
LWSK;2018;8929
LWSK;2019;9420
LWSK;2020;4122
LWSK;2021;6663
LWSK;2022;8487
LWSK;2023;1221
LYBE;2016;31715
LYBE;2017;32042
LYBE;2018;33219
LYBE;2019;35490
LYBE;2020;17056
LYBE;2021;24696
LYBE;2022;33073
LYBE;2023;5058
LYPG;2016;5708
LYPG;2017;6460
LYPG;2018;7061
LYPG;2019;7275
LYPG;2020;2908
LYPG;2021;4111
LYPG;2022;6087
LYPG;2023;802
LZIB;2016;10455
LZIB;2017;11084
LZIB;2018;11941
LZIB;2019;11272
LZIB;2020;4505
LZIB;2021;5484
LZIB;2022;8589
LZIB;2023;967
UDYZ;2016;9267
UDYZ;2017;10620
UDYZ;2018;11511
UDYZ;2019;12779
UDYZ;2020;4686
UDYZ;2021;9719
UDYZ;2022;17278
UDYZ;2023;3032
UGTB;2016;11943
UGTB;2017;16110
UGTB;2018;18959
UGTB;2019;18082
UGTB;2020;5447
UGTB;2021;10632
UGTB;2022;14436
UGTB;2023;2165
UKBB;2016;37169
UKBB;2017;43784
UKBB;2018;48626
UKBB;2019;55527
UKBB;2020;23495
UKBB;2021;37918
UKBB;2022;5010
EIWT;2016;510
EIWT;2017;576
EIWT;2018;580
EIWT;2019;515
EIWT;2020;87
EIWT;2021;190
EIWT;2022;358
EIWT;2023;32
LECU;2016;1023
LECU;2017;1319
LECU;2018;1157
LECU;2019;1485
LECU;2020;1314
LECU;2021;1636
LECU;2022;2090
LECU;2023;322
LELN;2016;518
LELN;2017;492
LELN;2018;583
LELN;2019;575
LELN;2020;299
LELN;2021;425
LELN;2022;548
LELN;2023;59
LEMO;2016;2868
LEMO;2017;2364
LEMO;2018;1984
LEMO;2019;2603
LEMO;2020;2505
LEMO;2021;2508
LEMO;2022;1794
LEMO;2023;263
LERS;2016;3457
LERS;2017;4022
LERS;2018;4161
LERS;2019;4074
LERS;2020;1323
LERS;2021;1850
LERS;2022;4013
LERS;2023;183
LEVT;2016;3209
LEVT;2017;3744
LEVT;2018;4333
LEVT;2019;4732
LEVT;2020;4367
LEVT;2021;5091
LEVT;2022;5446
LEVT;2023;849
LFAQ;2016;587
LFAQ;2017;460
LFAQ;2018;511
LFAQ;2019;637
LFAQ;2020;436
LFAQ;2021;488
LFAQ;2022;736
LFAQ;2023;131
LFJR;2016;1059
LFJR;2017;918
LFJR;2018;837
LFJR;2019;769
LFJR;2020;539
LFJR;2021;787
LFJR;2022;798
LFJR;2023;115
LFLI;2016;906
LFLI;2017;848
LFLI;2018;824
LFLI;2019;797
LFLI;2020;673
LFLI;2021;1167
LFLI;2022;1213
LFLI;2023;128
LFLX;2016;1164
LFLX;2017;1169
LFLX;2018;1325
LFLX;2019;1121
LFLX;2020;1131
LFLX;2021;1347
LFLX;2022;1185
LFLX;2023;170
LFMV;2016;2879
LFMV;2017;3171
LFMV;2018;3011
LFMV;2019;3062
LFMV;2020;2515
LFMV;2021;3584
LFMV;2022;3611
LFMV;2023;454
LFOT;2016;1659
LFOT;2017;1586
LFOT;2018;1498
LFOT;2019;1492
LFOT;2020;940
LFOT;2021;1673
LFOT;2022;1806
LFOT;2023;277
LFRM;2016;730
LFRM;2017;749
LFRM;2018;706
LFRM;2019;661
LFRM;2020;417
LFRM;2021;637
LFRM;2022;778
LFRM;2023;104
LKKV;2016;894
LKKV;2017;830
LKKV;2018;775
LKKV;2019;750
LKKV;2020;708
LKKV;2021;885
LKKV;2022;510
LKKV;2023;52
EPRA;2016;673
EPRA;2017;574
EPRA;2018;309
EPRA;2019;78
EPRA;2020;0
EPRA;2021;0
EPRA;2022;0
EPRA;2023;12
EPZG;2016;432
EPZG;2017;403
EPZG;2018;441
EPZG;2019;565
EPZG;2020;516
EPZG;2021;355
EPZG;2022;522
EPZG;2023;72
LEAB;2016;418
LEAB;2017;406
LEAB;2018;327
LEAB;2019;351
LEAB;2020;209
LEAB;2021;347
LEAB;2022;425
LEAB;2023;57
LEBZ;2016;643
LEBZ;2017;695
LEBZ;2018;800
LEBZ;2019;1144
LEBZ;2020;648
LEBZ;2021;710
LEBZ;2022;1043
LEBZ;2023;214
LETO;2016;885
LETO;2017;880
LETO;2018;897
LETO;2019;798
LETO;2020;504
LETO;2021;751
LETO;2022;909
LETO;2023;123
LGSK;2016;2004
LGSK;2017;2093
LGSK;2018;2068
LGSK;2019;2097
LGSK;2020;858
LGSK;2021;1485
LGSK;2022;2383
LGSK;2023;36
LEGT;2016;1197
LEGT;2017;736
LEGT;2018;756
LEGT;2019;790
LEGT;2020;470
LEGT;2021;501
LEGT;2022;539
LEGT;2023;98
LESJ;2016;149
LESJ;2017;149
LESJ;2018;172
LESJ;2019;144
LESJ;2020;75
LESJ;2021;62
LESJ;2022;40
LESJ;2023;5
LFMI;2016;1905
LFMI;2017;1298
LFMI;2018;1097
LFMI;2019;1195
LFMI;2020;1453
LFMI;2021;1540
LFMI;2022;1854
LFMI;2023;263
LFRZ;2016;1539
LFRZ;2017;1454
LFRZ;2018;1319
LFRZ;2019;1262
LFRZ;2020;866
LFRZ;2021;1217
LFRZ;2022;1332
LFRZ;2023;187
LRBS;2016;1690
LRBS;2017;1951
LRBS;2018;2418
LRBS;2019;3093
LRBS;2020;2442
LRBS;2021;2959
LRBS;2022;3095
LRBS;2023;405
LERJ;2016;338
LERJ;2017;356
LERJ;2018;348
LERJ;2019;338
LERJ;2020;118
LERJ;2021;157
LERJ;2022;295
LERJ;2023;32
LFOH;2016;474
LFOH;2017;462
LFOH;2018;401
LFOH;2019;409
LFOH;2020;292
LFOH;2021;420
LFOH;2022;486
LFOH;2023;70
LESA;2016;1367
LESA;2017;1712
LESA;2018;1672
LESA;2019;1803
LESA;2020;1304
LESA;2021;1510
LESA;2022;1345
LESA;2023;171
LEIZ;2016;128
LEIZ;2017;139
LEIZ;2018;147
LEIZ;2019;115
LEIZ;2020;51
LEIZ;2021;84
LEIZ;2022;102
LEIZ;2023;33
LEBA;2016;104
LEBA;2017;103
LEBA;2018;107
LEBA;2019;190
LEBA;2020;121
LEBA;2021;240
LEBA;2022;240
LEBA;2023;52
LEBG;2016;62
LEBG;2017;79
LEBG;2018;148
LEBG;2019;301
LEBG;2020;385
LEBG;2021;1028
LEBG;2022;529
LEBG;2023;72
LDZL;2016;268
LDZL;2017;339
LDZL;2018;206
LDZL;2019;475
LDZL;2020;521
LDZL;2021;408
LDZL;2022;148
EPSY;2016;643
EPSY;2017;647
EPSY;2018;725
EPSY;2019;840
EPSY;2020;513
EPSY;2021;465
EPSY;2022;705
EPSY;2023;97
LERE;2016;51
LERE;2017;12
LERE;2018;6
LERE;2019;20
LERE;2020;131
LERE;2021;133
LERE;2022;156
LERE;2023;32
EISG;2016;23
EISG;2017;15
EISG;2018;36
EISG;2019;16
EISG;2020;24
EISG;2021;39
EISG;2022;21
EISG;2023;9
EVVA;2016;6
EVVA;2017;6
EVVA;2018;8
EVVA;2019;8
EVVA;2020;1
EVVA;2021;12
EVVA;2022;6
EVLA;2016;3
EVLA;2017;115
EVLA;2018;181
EVLA;2019;432
EVLA;2020;305
EVLA;2021;359
EVLA;2022;553
EVLA;2023;4
EGNT;2018;22678
EGNT;2019;21722
EGNT;2020;7091
EGNT;2021;8119
EGNT;2022;17640
EGNT;2023;2131
EHLE;2018;1611
EHLE;2019;1493
EHLE;2020;1157
EHLE;2021;1035
EHLE;2022;1451
EHLE;2023;174
ENAL;2018;7270
ENAL;2019;7277
ENAL;2020;4733
ENAL;2021;5464
ENAL;2022;7526
ENAL;2023;1167
ENAN;2018;2176
ENAN;2019;1657
ENAN;2020;1543
ENAN;2021;1662
ENAN;2022;1675
ENAN;2023;244
ENAT;2018;4275
ENAT;2019;4142
ENAT;2020;3622
ENAT;2021;4175
ENAT;2022;4186
ENAT;2023;592
ENBL;2018;1994
ENBL;2019;1989
ENBL;2020;1213
ENBL;2021;1286
ENBL;2022;1418
ENBL;2023;249
ENBN;2018;3576
ENBN;2019;3534
ENBN;2020;3012
ENBN;2021;3142
ENBN;2022;3223
ENBN;2023;527
ENBO;2018;19675
ENBO;2019;19502
ENBO;2020;14897
ENBO;2021;16751
ENBO;2022;19048
ENBO;2023;2923
ENBS;2018;1122
ENBS;2019;1145
ENBS;2020;1080
ENBS;2021;1134
ENBS;2022;1010
ENBS;2023;165
ENBV;2018;806
ENBV;2019;836
ENBV;2020;623
ENBV;2021;811
ENBV;2022;793
ENBV;2023;115
ENCN;2018;7937
ENCN;2019;8171
ENCN;2020;4572
ENCN;2021;4297
ENCN;2022;5962
ENCN;2023;861
ENDU;2018;1835
ENDU;2019;1638
ENDU;2020;1273
ENDU;2021;1541
ENDU;2022;1301
ENDU;2023;195
ENEV;2018;5000
ENEV;2019;5090
ENEV;2020;3438
ENEV;2021;4401
ENEV;2022;5234
ENEV;2023;742
ENFL;2018;3966
ENFL;2019;4337
ENFL;2020;3428
ENFL;2021;3383
ENFL;2022;4129
ENFL;2023;613
ENHF;2018;5591
ENHF;2019;4877
ENHF;2020;4499
ENHF;2021;5233
ENHF;2022;4985
ENHF;2023;706
ENHV;2018;998
ENHV;2019;1047
ENHV;2020;918
ENHV;2021;996
ENHV;2022;971
ENHV;2023;129
ENKB;2018;4963
ENKB;2019;4835
ENKB;2020;4667
ENKB;2021;4044
ENKB;2022;4448
ENKB;2023;624
ENKR;2018;3775
ENKR;2019;3865
ENKR;2020;3245
ENKR;2021;3519
ENKR;2022;3437
ENKR;2023;510
ENLK;2018;3162
ENLK;2019;2853
ENLK;2020;2600
ENLK;2021;2172
ENLK;2022;2381
ENLK;2023;355
ENMH;2018;1213
ENMH;2019;1219
ENMH;2020;1120
ENMH;2021;1273
ENMH;2022;1323
ENMH;2023;194
ENML;2018;3201
ENML;2019;3095
ENML;2020;2036
ENML;2021;2045
ENML;2022;2660
ENML;2023;405
ENMS;2018;1915
ENMS;2019;1726
ENMS;2020;1372
ENMS;2021;1951
ENMS;2022;1783
ENMS;2023;303
ENNA;2018;1211
ENNA;2019;1118
ENNA;2020;1162
ENNA;2021;1204
ENNA;2022;998
ENNA;2023;165
ENNM;2018;1347
ENNM;2019;1296
ENNM;2020;998
ENNM;2021;1171
ENNM;2022;1091
ENNM;2023;178
ENOV;2018;2445
ENOV;2019;2323
ENOV;2020;1671
ENOV;2021;1840
ENOV;2022;2238
ENOV;2023;325
ENRA;2018;2740
ENRA;2019;2564
ENRA;2020;1976
ENRA;2021;2314
ENRA;2022;2503
ENRA;2023;357
ENRM;2018;1168
ENRM;2019;1113
ENRM;2020;962
ENRM;2021;1148
ENRM;2022;1254
ENRM;2023;205
ENRO;2018;612
ENRO;2019;692
ENRO;2020;984
ENRO;2021;670
ENRO;2022;602
ENRO;2023;105
ENRS;2018;620
ENRS;2019;630
ENRS;2020;575
ENRS;2021;635
ENRS;2022;603
ENRS;2023;105
ENSB;2018;1075
ENSB;2019;1002
ENSB;2020;668
ENSB;2021;699
ENSB;2022;1073
ENSB;2023;98
ENSD;2018;1138
ENSD;2019;1161
ENSD;2020;945
ENSD;2021;970
ENSD;2022;1094
ENSD;2023;188
ENSG;2018;2537
ENSG;2019;2501
ENSG;2020;2426
ENSG;2021;2345
ENSG;2022;2436
ENSG;2023;414
ENSH;2018;2412
ENSH;2019;1975
ENSH;2020;1377
ENSH;2021;1831
ENSH;2022;1960
ENSH;2023;311
ENSK;2018;3108
ENSK;2019;2630
ENSK;2020;1647
ENSK;2021;2222
ENSK;2022;2579
ENSK;2023;422
ENSR;2018;871
ENSR;2019;883
ENSR;2020;693
ENSR;2021;856
ENSR;2022;871
ENSR;2023;133
ENSS;2018;1110
ENSS;2019;1184
ENSS;2020;820
ENSS;2021;1091
ENSS;2022;1052
ENSS;2023;160
ENST;2018;1932
ENST;2019;1928
ENST;2020;1648
ENST;2021;1742
ENST;2022;1783
ENST;2023;271
ENTC;2018;21127
ENTC;2019;20430
ENTC;2020;16559
ENTC;2021;18474
ENTC;2022;19990
ENTC;2023;3001
ENVD;2018;3255
ENVD;2019;3286
ENVD;2020;2974
ENVD;2021;3161
ENVD;2022;3124
ENVD;2023;458
ENVR;2018;607
ENVR;2019;605
ENVR;2020;548
ENVR;2021;369
ENVR;2022;567
ENVR;2023;93
GMAD;2018;8310
GMAD;2019;8486
GMAD;2020;2977
GMAD;2021;3637
GMAD;2022;7637
GMAD;2023;1384
GMFF;2018;5361
GMFF;2019;6001
GMFF;2020;2093
GMFF;2021;4147
GMFF;2022;5556
GMFF;2023;886
GMME;2018;6142
GMME;2019;6710
GMME;2020;2791
GMME;2021;4469
GMME;2022;5187
GMME;2023;897
GMMN;2018;44432
GMMN;2019;46984
GMMN;2020;17195
GMMN;2021;23463
GMMN;2022;34618
GMMN;2023;6006
GMMX;2018;20573
GMMX;2019;24512
GMMX;2020;6911
GMMX;2021;8555
GMMX;2022;20042
GMMX;2023;4011
GMTT;2018;5816
GMTT;2019;6914
GMTT;2020;3194
GMTT;2021;5312
GMTT;2022;7698
GMTT;2023;1191
LLBG;2018;78146
LLBG;2019;83419
LLBG;2020;27059
LLBG;2021;37478
LLBG;2022;71928
LLBG;2023;11721
LPMT;2018;134
LPMT;2019;122
LPMT;2020;105
LPMT;2021;105
LPMT;2022;102
LPMT;2023;15
LTFM;2018;314
LTFM;2019;163002
LTFM;2020;92219
LTFM;2021;139058
LTFM;2022;211024
LTFM;2023;37062
LEMI;2019;3842
LEMI;2020;1326
LEMI;2021;1632
LEMI;2022;3287
LEMI;2023;201
EVJA;2019;7
EVJA;2020;5
EVJA;2021;2
LERL;2019;46
LERL;2020;130
LERL;2021;133
LERL;2022;117
LERL;2023;41
LICJ;2021;20492
LICJ;2022;27817
LICJ;2023;3108
LFOP;2021;1455
LFOP;2022;1674
LFOP;2023;238
